cg_poly

5 atom types
3 bond types

406 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 344.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

248 50 1  51.094929 56.147255 36.032352
249 50 1  66.879890 20.191977 47.246513
250 50 1  43.774639 53.129826 45.236046
251 51 1  34.918518 18.498850 0.809765
252 51 1  56.116631 26.006744 32.041454
253 51 1  55.425102 42.338657 25.500320
254 51 1  28.384535 10.109694 1.434430
255 51 1  14.133937 5.080724 61.732609
256 52 1  29.419390 1.457240 9.599257
257 52 1  14.539971 44.422703 19.023598
258 52 1  44.095814 64.057251 15.264751
259 52 1  56.755917 28.108168 8.446583
260 52 1  25.837587 6.674897 16.755682
261 53 1  65.632462 69.662415 10.278560
262 53 1  38.694679 17.084593 8.947659
263 53 1  40.894360 24.421225 48.432472
264 53 1  8.025587 14.476932 6.902513
265 53 1  43.378307 23.362152 41.353603
266 54 1  26.604692 2.778196 26.440901
267 54 1  2.933747 46.621250 32.046200
268 54 1  9.700362 66.076309 41.200581
269 54 1  40.636829 0.602352 51.902035
270 54 1  28.261045 60.375015 44.628807
271 55 1  69.834541 58.778709 51.902573
272 55 1  20.039846 37.030609 56.016758
273 55 1  16.730745 64.733215 39.179039
274 55 1  23.560740 12.502048 11.520391
275 55 1  43.502327 32.735943 69.268768
276 56 1  53.540482 32.587166 20.721756
277 56 1  25.948982 68.579361 37.503868
278 56 1  54.591587 67.606499 8.019600
279 56 1  38.985203 20.110613 52.658894
280 56 1  25.156599 11.455361 21.816948
281 57 1  9.581329 10.413356 57.338924
282 57 1  8.356466 28.492935 28.568604
283 57 1  47.537498 5.473805 0.780265
284 57 1  19.724636 63.067635 43.070087
285 57 1  4.068601 67.969696 20.170332
286 58 1  41.930901 49.668400 38.461658
287 58 1  20.698675 31.439041 55.487335
288 58 1  48.516243 48.554039 21.833546
289 58 1  32.141220 45.720348 68.988693
290 58 1  0.622207 19.314955 69.000595
291 59 1  33.347530 27.959709 5.971437
292 59 1  67.745117 66.832397 28.603256
293 59 1  35.031281 61.268707 40.630451
294 59 1  1.465682 41.408573 23.906511
295 59 1  21.862158 9.094448 11.209560
296 60 1  1.294984 57.024288 47.195801
297 60 1  27.546785 69.411842 67.192604
298 60 1  47.935379 31.561747 69.646919
299 60 1  41.784245 58.599747 21.526554
300 60 1  35.060669 14.366961 28.703331
301 61 1  64.210449 39.081715 17.252239
302 61 1  30.904013 2.130956 14.576478
303 61 1  14.290553 31.197208 45.275902
304 61 1  3.252541 5.080769 8.337026
305 61 1  30.942413 64.402779 33.074303
306 62 1  0.592387 56.386829 14.152019
307 62 1  30.938866 66.436470 30.716599
308 62 1  42.635464 28.182615 56.297863
