cg_poly

5 atom types
3 bond types

1594 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 86.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

280 56 1  56.764301 7.699535 59.568836
281 57 1  39.381863 3.402558 42.221745
282 57 1  17.202326 69.584366 9.281860
283 57 1  33.028137 42.794765 37.132092
284 57 1  64.471626 60.140930 34.730350
285 57 1  59.894070 29.834187 15.816047
286 58 1  7.720349 59.340698 34.647327
287 58 1  46.461510 58.602325 49.461281
288 58 1  23.672325 3.956977 69.872673
289 58 1  66.507561 69.625114 9.086861
290 58 1  58.740463 26.586395 3.574768
291 59 1  68.958839 16.641047 4.547326
292 59 1  49.952442 22.213257 9.639535
293 59 1  63.011047 27.835930 36.145699
294 59 1  44.409187 38.791626 63.266163
295 59 1  34.960583 45.201859 68.610931
296 60 1  10.106977 69.700294 18.979534
297 60 1  39.168606 22.406279 0.041048
298 60 1  69.499649 10.140232 26.732441
299 60 1  52.017208 40.576397 11.379418
300 60 1  29.848837 29.067558 19.775698
301 61 1  55.760349 50.578487 27.130581
302 61 1  12.880582 23.086628 42.418720
303 61 1  53.778721 50.947674 56.806744
304 61 1  17.032907 54.762444 44.325932
305 61 1  59.289997 62.752094 35.890697
306 62 1  44.331745 28.169069 11.185232
307 62 1  15.880697 21.903372 32.494419
308 62 1  61.340466 4.698256 7.872907
309 62 1  52.828953 68.951859 54.499649
310 62 1  61.560699 5.397558 55.441975
311 63 1  55.646744 65.239532 26.581743
312 63 1  8.320581 21.502907 50.803257
313 63 1  53.934303 15.995464 55.170696
314 63 1  20.663372 36.989185 65.935928
315 63 1  41.847210 35.282440 4.002907
316 64 1  21.662441 15.450813 18.385931
317 64 1  18.236279 45.334652 68.391747
318 64 1  59.805698 61.273724 5.206047
319 64 1  33.446976 58.530231 61.044189
320 64 1  17.903488 59.443954 40.637791
321 65 1  18.762093 24.584766 5.909419
322 65 1  32.462906 28.818140 57.267094
323 65 1  27.980116 46.269882 3.530930
324 65 1  45.380001 42.000233 47.926510
325 65 1  9.509651 57.099300 2.721163
326 66 1  29.853371 7.455465 67.654999
327 66 1  55.186977 22.904766 63.465931
328 66 1  49.735001 35.933952 35.462326
329 66 1  64.704071 25.335464 41.416977
330 66 1  48.792210 3.148837 11.099651
331 67 1  64.111275 58.323956 51.500233
332 67 1  35.505001 59.844536 6.192675
333 67 1  19.903605 11.545815 66.590118
334 67 1  49.385929 36.423023 16.334419
335 67 1  4.746744 33.851627 27.087675
336 68 1  39.825932 49.189884 57.217091
337 68 1  35.764999 44.021278 53.477440
338 68 1  66.135582 46.859070 69.069771
339 68 1  2.526163 42.026627 69.172394
340 68 1  34.190350 4.371395 15.026977
341 69 1  13.863372 53.798721 63.713257
342 69 1  21.463024 34.241165 15.602906
343 69 1  46.977211 1.468542 59.630001
344 69 1  14.915233 4.380814 4.218837
345 69 1  58.157558 10.356047 11.136395
346 70 1  40.202324 23.963720 60.391396
347 70 1  58.401627 0.384122 10.415116
348 70 1  68.331047 55.359184 38.083836
349 70 1  33.374069 23.068138 13.098721
350 70 1  51.226280 68.863197 10.292907
351 71 1  4.229302 68.877739 48.554184
352 71 1  46.766861 46.680580 45.180698
353 71 1  34.536861 62.789650 19.986395
354 71 1  50.471046 36.220932 4.868721
355 71 1  10.233140 28.034185 57.633839
356 72 1  36.920116 19.153837 55.431976
357 72 1  30.039536 10.868488 42.851048
358 72 1  36.081165 12.433372 35.461746
359 72 1  26.516745 3.265930 24.405813
360 72 1  61.771976 6.673489 66.750000
361 73 1  35.840233 58.224533 11.925930
362 73 1  20.268372 56.575233 8.804535
363 73 1  48.299068 68.436394 50.214653
364 73 1  1.227209 11.218140 12.153488
365 73 1  46.172676 62.223373 69.471397
